A robot may not injure a human being or through inaction allow a human being to come to harm. Which of Isaac Asimovs Three Laws of Robotics is this?,First law
Know thyself was a widely-known aphorism of which country?,Ancient Greece
Last of the Romans is an epithet used to describe someone with a classical Roman way of thinking. Who could NOT exemplify that?,Attila
Machu Picchu is a notable relic of which civilization?,The Incas
Man of Peace is the nickname of which commander?,Imhotep
One hundred forty thousand all disarmed! Among these was there not a single man? Which Tang-dynasty poet wrote this couplet?,Madame Huarui
Puncture Wounds is the skill of which character in Ceroli Crisis?,Astrid
Ru ware is one of the most famous types of Chinese pottery known for its delicate pale blue glaze. Which dynasty did it originate from?,Song
The end justifies the means was a key belief of the author of The Prince. What was his name?,Machiavelli
Tongwancheng was the capital of which ethnic group from ancient China?,The Xiongnu
A crater on the far side of the Moon is named after a Chinese official who was (supposedly) the first person to travel into space. What was his name?,Wan Hu
A decrease in which of the following metrics might indicate increasing nearness to a state of vacuum?,Air pressure
A human fingernail is made of which material?,Alpha-keratin
According to Greek mythology which two gods transformed into the fish in the symbol of Pisces?,Aphrodite and Eros
According to the tale of the She-wolf in Roman mythology what came of the twins she nurtured Romulus and Remus?,Romulus became the founder and first King of Rome
Acquiring Commander William I unlocks which of these achievements?,Path of Glory
Advantages of Johannes Gutenbergs printing press include all of the following except what?,Increase in church power
After a Venus Flytrap catches an insect how does it digest and absorb the prey?,The inner flaps of the leaves secrete a digestive fluid
After its foundation in the 6th century BCE which institution of the Roman Republic served as a consultative parliament?,The Senate
After the Lost Kingdom opens what item do you have to spend to teleport to and from the Lost Kingdom?,Random Teleport
After the students at the Lyceum of Wisdom finish their lessons what building in your city do they return to?,Academy
Afterglow is caused by:,Light scattering in air
Alliance help can NOT speed up which of the following activities?,Troop training
Apart from Number of Scouts and Power which of the following Scout Camp parameters can also be upgraded?,Scout March Speed and Exploration Range
Apart from Times You Can Be Helped and Power which of the following Alliance Center parameters can also be upgraded?,Reinforcement Troop Capacity
As of the 2018 World Cup how many times has Shakira performed at the World Cup closing ceremony?,3
As of the 2018 World Cup how many World Cups has Brazil won?,5
As of the 2018 World Cup what is the United States best ever World Cup result?,Third place
As of the 2018 World Cup which player holds the record for most goals scored in a single World Cup match with five goals?,Oleg Salenko
As of the 2018 World Cup who holds the record for most goals scored in the World Cup?,Miroslav Klose
As of the 2018 World Cup who holds the World Cup record for fastest goal scored at 11 seconds?,Hakan Şükür
As of the 2022 World Cup how many countries have won the World Cup?,8
As of the 21st World Cup who is the only player to have scored a hat-trick in 2 different World Cups?,Gabriel Batistuta
Ashoka the Great was the King of which Ancient Indian kingdom?,Maurya
Assuming the absence of any other special buffs which of these commanders has the highest march speed?,Belisarius
At what level does the Trading Posts transport tax rate become 10%?,24
At what VIP level can you purchase a VIP Special chest that contains enough Hannibal Barca sculptures to awaken him?,14
At which VIP level do you permanently unlock a second building queue?,Lvl. 6
Big Ben is located in which of the following countries?,United Kingdom
Black Forest Cake is a famous European dessert. In which country is the Black Forest from which it takes its name?,Germany
Bossa nova is a popular genre of music originating from which country?,Brazil
Broccoli is rich in which vitamin?,Vitamin C
By what other name are Ceroli Chieftains Ak & Hok also known by?,The Astral Twins
By what other name is October also known under Japans old calendar?,Kannazuki
By what other name is the Ceroli Chieftain Wafura also known?,Wolfshadow
Cactus spines are actually a modified form of which other part of the plant?,Leaves
Champagne is a region in which country?,France
Charles Macintosh crafted a very early version of a raincoat from which material?,Rubber
Chinas crosstalk sketch comedy format originates in three places: Tianqiao in Beijing the Quanye Bazaar in Tianjin and where in Nanjing?,Fuzimiao
Combat Tactics is an important Military Technology – what effect does it have?,Increases Attack of all units
Commander Björn Ironsides Viking Lord skill benefits which of the following unit types?,Infantry
Darwins last book primarily discussed which species influence on soil?,Earthworms
Diego Velázquez the painter of the realist work Portrait of Pope Innocent X was from which country?,Spain
During Chinas Warring States Period which state defeated the other six and built the unified Chinese empire?,Qin
During the Renaissance why was Florence significant?,Birthplace and symbol of the Renaissance
During the Second Punic War in which battle did a vastly outnumbered Hannibal defeat a Roman army?,The Battle of Cannae
During the Trojan War which Greek warrior killed Hector?,Achilles
During the Upper and Lower Egypt period what color was the crown of the pharaoh of Upper Egypt?,White
During which emperors reign was the Roman Colosseum completed?,Titus
During which season are nights relatively short and days relatively long?,Summer
Edward VIII became King of England in January 1936. Later in the same year in which month did he give up the throne?,December
Egyptians made paper from which material?,Papyrus
Egypts economy was primarily based on what?,Agriculture
Elbe Day was the meeting of which two armies during World War II?,USA USSR
Equipment with special talent bonuses will have their attributes enhanced by what percentage when equipped to a commander with the corresponding talent?,30%
Feijoada is considered a national dish of which country?,Brazil
First created in Ancient Greece to which profession does the Hippocratic Oath apply?,Doctors
Fish and chips has its earliest origins in which country?,England
Focaccia is a type of pizza-like bread. Which country (and its cooking culture) created the focaccia?,Italy
Foie gras is a very nutrient-rich food. Which country produces the most foie gras?,France
For every 1 unit you train in your city how many expedition units do you get in Expedition mode?,1
For how many francs did Charles V ransom Bertrand du Guesclin during the conflict over Brittany?,"100,000"
For which disease did Edward Jenner known as the father of immunology develop a vaccine?,Smallpox
France and Germany were both once part of what feudal Kingdom?,Francia
French National Day is on July 14 in order to coincide with which historical event?,Storming of the Bastille
From the 17th to 19th centuries the Kingdom of Prussia was mostly in which modern country?,Germany
From the 8th to the 11th century CE what did Europeans frequently call the Scandinavian invaders who frequently ravaged their lands?,Vikings
Galileos Leaning Tower of Pisa experiment overturned a theory of which Ancient Greek scientist?,Aristotle
Governors cannot earn Activity Points through which of the following?,Expeditions
Halleys Comet can be observed from Earth every…,75-76 years
Held in 1929 how long did the first Academy Awards (Oscars) ceremony take?,15 minutes
Hieroglyphs were part of which countrys formal writing system?,Ancient Egypt
Homers epic The Iliad focuses on events happening during which war or battle?,The Trojan War
How do you get Alliance Technology Credits?,By donating to research Alliance Technology
How do you get Alliance Technology Points?,By donating to research Alliance Technology
How do you obtain the Friend of the Kingdom achievement?,Visit 100 tribal villages
How high in the Sunset Canyon daily ranking do you need to place before you can receive the Golden Key Daily Rewards?,In the top 5
How long did the Hundred Years War between England and France last?,116 years
How long does the Basic Army Expansion boost last?,4h
How long does the rune dropped by defeating the Guardians remain on the map?,8 hours
